country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
BG,2022,F,Construction,7298,0.1,1
BG,2022,C,Manufacturing,395298,2.7,2
BG,2022,G-U_X_G4677,Services (except wholesale of waste and scrap),36840,0.3,3
BG,2022,A,"Agriculture, forestry and fishing",2998,0,4
BG,2022,D,"Electricity, gas, steam and air conditioning supply",2074,0,5
BG,2022,E,"Water supply, sewerage, waste management",19266,0.1,6
BG,2022,B,Mining and quarrying,13932326,96,7
BG,2022,G4677,Wholesale of waste and scrap,13500,0.1,8
BG,2022,EP_HH,Households,110507,0.8,9
BG,2022,G4677,Wholesale of waste and scrap,936,0,1
BG,2022,EP_HH,Households,82366,0.6,2
BG,2022,C,Manufacturing,466684,3.3,3
BG,2022,A,"Agriculture, forestry and fishing",4663,0,4
BG,2022,G-U_X_G4677,Services (except wholesale of waste and scrap),45658,0.3,5
BG,2022,D,"Electricity, gas, steam and air conditioning supply",23214,0.2,6
BG,2022,F,Construction,20488,0.1,7
BG,2022,E,"Water supply, sewerage, waste management",13680,0.1,8
BG,2022,B,Mining and quarrying,13294166,95.3,9
BG,2022,C,Manufacturing,73228,0.5,1
BG,2022,G4677,Wholesale of waste and scrap,691,0,2
BG,2022,F,Construction,222,0,3
BG,2022,A,"Agriculture, forestry and fishing",181,0,4
BG,2022,D,"Electricity, gas, steam and air conditioning supply",1502,0,5
BG,2022,B,Mining and quarrying,13216848,98.4,6
BG,2022,EP_HH,Households,118694,0.9,7
BG,2022,E,"Water supply, sewerage, waste management",10640,0.1,8
BG,2022,G-U_X_G4677,Services (except wholesale of waste and scrap),10063,0.1,9
BG,2022,E,"Water supply, sewerage, waste management",96496,0.7,1
BG,2022,EP_HH,Households,52278,0.4,2
BG,2022,G-U_X_G4677,Services (except wholesale of waste and scrap),35611,0.3,3
BG,2022,G4677,Wholesale of waste and scrap,2495,0,4
BG,2022,F,Construction,208,0,5
BG,2022,D,"Electricity, gas, steam and air conditioning supply",1931,0,6
BG,2022,A,"Agriculture, forestry and fishing",146,0,7
BG,2022,B,Mining and quarrying,13025415,97.7,8
BG,2022,C,Manufacturing,113857,0.9,9
BG,2022,G4677,Wholesale of waste and scrap,992,0,1
BG,2022,A,"Agriculture, forestry and fishing",58,0,2
BG,2022,D,"Electricity, gas, steam and air conditioning supply",3345,0,3
BG,2022,G-U_X_G4677,Services (except wholesale of waste and scrap),26948,0.2,4
BG,2022,F,Construction,186,0,5
BG,2022,C,Manufacturing,176756,1.4,6
BG,2022,B,Mining and quarrying,11986539,98.2,7
BG,2022,E,"Water supply, sewerage, waste management",11345,0.1,8
BG,2022,EP_HH,Households,0,0,9
BG,2022,E,"Water supply, sewerage, waste management",9061,0.1,1
